typ,kod_csu,kod_ruian
kraj,3018,19
kraj,3026,27
kraj,3034,35
kraj,3042,43
kraj,3051,51
kraj,3069,60
kraj,3077,78
kraj,3085,86
kraj,3093,94
kraj,3107,108
kraj,3115,116
kraj,3123,124
kraj,3131,141
kraj,3140,132
okres,40169,3201
okres,40177,3202
okres,40185,3203
okres,40193,3204
okres,40207,3205
okres,40215,3206
okres,40223,3207
okres,40231,3208
okres,40240,3209
okres,40258,3210
okres,40266,3211
okres,40274,3212
okres,40282,3301
okres,40291,3302
okres,40304,3303
okres,40312,3305
okres,40321,3306
okres,40339,3307
okres,40347,3308
okres,40355,3401
okres,40363,3404
okres,40371,3405
okres,40380,3406
okres,40398,3407
okres,40401,3408
okres,40410,3410
okres,40428,3402
okres,40436,3403
okres,40444,3409
okres,40452,3502
okres,40461,3503
okres,40479,3506
okres,40487,3507
okres,40495,3508
okres,40509,3509
okres,40517,3510
okres,40525,3501
okres,40533,3504
okres,40541,3505
okres,40550,3608
okres,40568,3602
okres,40576,3604
okres,40584,3605
okres,40592,3607
okres,40606,3610
okres,40614,3603
okres,40622,3606
okres,40631,3609
okres,40649,3611
okres,40657,3601
okres,40665,3707
okres,40673,3304
okres,40681,3710
okres,40690,3714
okres,40703,3701
okres,40711,3702
okres,40720,3703
okres,40738,3704
okres,40746,3706
okres,40754,3712
okres,40762,3713
okres,40771,3811
okres,40789,3805
okres,40797,3709
okres,40801,3808
okres,40819,3809
okres,40827,3708
okres,40835,3711
okres,40843,3810
okres,40851,3705
okres,40860,3801
okres,40878,3802
okres,40886,3803
okres,40894,3804
okres,40908,3806
okres,40916,3807
okres,40924,3100
